Genomes	Version	MLST_inCREDble	MLST_TSeeman	MLST_recheck_CGE	MLST_Final	Combination_MLST_tseeman
AI2849	v1	147	147		147	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(38)
AI2850	v1	151	151		151	gapA(4), infB(1), mdh(32), pgi(1), phoE(7), rpoB(4), tonB(10)
AI2851	v1	152	152		152	gapA(2), infB(3), mdh(2), pgi(1), phoE(1), rpoB(4), tonB(56)
AI2852	v1	10	10		10	adk(10), fumC(11), gyrB(4), icd(8), mdh(8), purA(8), recA(2)
AI2853	v1	10	10		10	adk(10), fumC(11), gyrB(4), icd(8), mdh(8), purA(8), recA(2)
AI2854	v1	152	152		152	gapA(2), infB(3), mdh(2), pgi(1), phoE(1), rpoB(4), tonB(56)
AI2855	v1	147	147		147	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(38)
AI2856	v1	147	147		147	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(38)
AI2857	v1	-	-		0	
AI2858	v1	648	648		648	adk(92), fumC(4), gyrB(87), icd(96), mdh(70), purA(58), recA(2)
AI2859	v1	133	133		133	dnaA(11), fusA(4), gyrB(4), leuS(13), pyrG(39), rplB(4), rpoB(9)
AI2860	v1	602	602		602	adk(6), fumC(19), gyrB(33), icd(26), mdh(11), purA(8), recA(6)
AI2861	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2862	v1	405	405		405	gapA(2), infB(1), mdh(62), pgi(3), phoE(10), rpoB(4), tonB(110)
AI2863	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI2865	v1	108	108		108	dnaA(68), fusA(8), gyrB(75), leuS(63), pyrG(65), rplB(34), rpoB(35)
AI2866	v1	90	90		90	dnaA(58), fusA(37), gyrB(4), leuS(6), pyrG(42), rplB(4), rpoB(25)
AI2867	v1	39	39		39	gapA(2), infB(1), mdh(2), pgi(4), phoE(9), rpoB(1), tonB(14)
AI2868	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI2870	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2871	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2872	v1	-	-		0	
AI2873	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2874	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2875	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2876	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2877	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2878	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2879	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2880	v1	101	101		101	gapA(2), infB(6), mdh(1), pgi(5), phoE(4), rpoB(1), tonB(6)
AI2882	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI2883	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI2884	v1	-	-		0	
AI2885	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI2886	v1	15	15		15	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(1)
AI2887	v1	-	-		0	
AI2888	v1	15	15		15	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(1)
AI2889	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI2890	v1	538	538		538	adk(13), fumC(40), gyrB(19), icd(13), mdh(36), purA(28), recA(30)
AI2891	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2892	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2893	v1	45	45		45	gapA(2), infB(1), mdh(1), pgi(6), phoE(7), rpoB(1), tonB(12)
AI2894	v1	58	58		58	adk(6), fumC(4), gyrB(4), icd(16), mdh(24), purA(8), recA(14)
AI2895	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2896	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI2897	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2898	v1	101	101		101	gapA(2), infB(6), mdh(1), pgi(5), phoE(4), rpoB(1), tonB(6)
AI2899	v1	131	131		131	adk(53), fumC(40), gyrB(47), icd(13), mdh(36), purA(28), recA(29)
AI2900	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2901	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI2902	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2903	v1	392	392		392	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(40)
AI2904	v1	604	604	662	662	dnaA(4), fusA(4), gyrB(4), leuS(6), pyrG(204), rplB(4), rpoB(25)
AI2905	v1	732	732		732	dnaA(127), fusA(25), gyrB(254), leuS(206), pyrG(49), rplB(101), rpoB(26)
AI2906	v1	392	392		392	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(40)
AI2907	v1	0	-	11*	5001	gapA(3), infB(3), mdh(380), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2908	v1	39	39		39	gapA(2), infB(1), mdh(2), pgi(4), phoE(9), rpoB(1), tonB(14)
AI2909	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2910	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2911	v1	392	392		392	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(40)
AI2912	v1	392	392		392	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(40)
AI2913	v1	57	57		57	dnaA(2), fusA(3), gyrB(2), leuS(2), pryG(1), rplB(1), rpoB(2)
AI2914	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2915	v1	114	114		114	dnaA(53), fusA(35), gyrB(20), leuS(44), pyrG(45), rplB(4), rpoB(6)
AI2916	v1	732	732		732	dnaA(127), fusA(25), gyrB(254), leuS(206), pyrG(49), rplB(101), rpoB(26)
AI2917	v1	392	392		392	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(40)
AI2918	v1	36	36		36	gapA(1), infB(7), mdh(2), pgi(15), phoE(21), rpoB(1), tonB(14)
AI2919	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2920	v1	392	392		392	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(40)
AI2921	v1	405	405		405	gapA(2), infB(1), mdh(62), pgi(3), phoE(10), rpoB(4), tonB(110)
AI2922	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2923	v1	392	392		392	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(40)
AI2924	v1	114	114		114	dnaA(53), fusA(35), gyrB(20), leuS(44), pyrG(45), rplB(4), rpoB(6)
AI2925	v1	340	340		340	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(18)
AI2926	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2927	v1	392	392		392	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(40)
AI2928	v1	10	10		10	adk(10), fumC(11), gyrB(4), icd(8), mdh(8), purA(8), recA(2)
AI2929	v1	392	392		392	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(40)
AI2930	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI2931	v1	392	392		392	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(40)
AI2932	v1	392	392		392	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(40)
AI2934	v1	395	395		395	gapA(3), infB(1), mdh(2), pgi(4), phoE(1), rpoB(1), tonB(4)
AI2935	v1	112	112		112	aspC(26), clpX(5), fadD(69), mdh(15), arcA(5), dnaG(54), lysP(17)
AI2936	v1	78	78		78	dnaA(8), fusA(9), gyrB(6), leuS(9), pyrG(9), rplB(6), rpoB(8)
AI2937	v1	0	-	261/184	326	gapA(4), infB(6), mdh(14), pgi(35), phoE(96), rpoB(5), tonB(6)
AI2938	v1	127	127		127	adk(13), fumC(14), gyrB(19), icd(36), mdh(23), purA(11), recA(10)
AI2939	v1	133	133		133	dnaA(11), fusA(4), gyrB(4), leuS(13), pyrG(39), rplB(4), rpoB(9)
AI2940	v1	258	258		258	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(79)
AI2941	v1	1074	1074		1074	dnaA(57), fusA(39), gyrB(49), leuS(57), pyrG(49), rplB(140), rpoB(20)
AI2942	v1	326	326		326	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(64)
AI2943	v1	0	-	261*	327	gapA(4), infB(6), mdh(68), pgi(11), phoE(46), rpoB(5), tonB(79)
AI2945	v1	101	101		101	gapA(2), infB(3), mdh(2), pgi(2), phoE(45), rpoB(10), tonB(1)
AI2946	v1	101	101		101	gapA(2), infB(3), mdh(2), pgi(2), phoE(45), rpoB(10), tonB(1)
AI2949	v1	131	131		131	adk(53), fumC(40), gyrB(47), icd(13), mdh(36), purA(28), recA(29)
AI2950	v1	66	66		66	dnaA(52), fusA(21), gyrB(20), leuS(44), pyrG(45), rplB(4), rpoB(6)
AI2951	v1	131	131		131	adk(53), fumC(40), gyrB(47), icd(13), mdh(36), purA(28), recA(29)
AI2952	v1	326	326		326	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(64)
AI2953	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI2954	v5	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2957	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI2958	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2959	v1	68	68		68	adk(33), fumC(26), gyrB(2), icd(31), mdh(5), purA(16), recA(19)
AI2960	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI2961	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI2962	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI2963	v1	131	131		131	adk(53), fumC(40), gyrB(47), icd(13), mdh(36), purA(28), recA(29)
AI2964	v1	171	171		171	dnaA(49), fusA(21), gyrB(19), leuS(44), pyrG(45), rplB(12), rpoB(32)
AI2965	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI2966	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI2967	v1	405	405		405	gapA(2), infB(1), mdh(62), pgi(3), phoE(10), rpoB(4), tonB(110)
AI2968	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI2969	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI2970	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI2971	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2972	v1	114	114		114	dnaA(53), fusA(35), gyrB(20), leuS(44), pyrG(45), rplB(4), rpoB(6)
AI2973	v2	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2974	v1	0	-	New2	5002	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(284), tonB(7)
AI2975	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI2976	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI2977	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2978	v1	131	131		131	adk(53), fumC(40), gyrB(47), icd(13), mdh(36), purA(28), recA(29)
AI2979	v1	1961	1961		1961	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(116), tonB(1)
AI2980	v2	1961	1961		1961	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(116), tonB(1)
AI2981	v1	10	10		10	adk(10), fumC(11), gyrB(4), icd(8), mdh(8), purA(8), recA(2)
AI2982	v1	1960	1961		1961	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(116), tonB(1)
AI2983	v1	0	-	1006/624	1381	dnaA(364), fusA(43), gyrB(218), leuS(453), pyrG(197), rplB(61), rpoB(129)
AI2984	v2	515	515		515	dnaA(56), fusA(38), gyrB(35), leuS(58), pyrG(169), rplB(12), rpoB(20)
AI2985	v1	1961	1961		1961	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(116), tonB(1)
AI2989	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2991	v1	36	36		36	gapA(1), infB(7), mdh(2), pgi(15), phoE(21), rpoB(1), tonB(14)
AI2992	v5	96	96		96	dnaA(57), fusA(39), gyrB(49), leuS(57), pyrG(49), rplB(12), rpoB(20)
AI2993	v1	147	147		147	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(38)
AI2994	v1	0	-	new1	11106	adk(6), fumC(466), gyrB(32), icd(26), mdh(9), purA(8), recA(7)
AI2996	v1	147	147		147	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(38)
AI2998	v1	147	147		147	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(38)
AI2999	v1	0	-	462*	1382	dnaA(192), fusA(241), gyrB(158), leuS(452), pyrG(153), rplB(36), rpoB(1)
AI3000	v1	147	147		147	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(38)
AI3001	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI3002	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI3003	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI3004	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI3006	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI3007	v1	101	101		101	gapA(2), infB(6), mdh(1), pgi(5), phoE(4), rpoB(1), tonB(6)
AI3008	v1	101	101		101	gapA(2), infB(6), mdh(1), pgi(5), phoE(4), rpoB(1), tonB(6)
AI3009	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI3010	v1	0	-		0	
AI3011	v1	12	13		13	gapA(2), infB(3), mdh(1), pgi(1), phoE(10), rpoB(1), tonB(19)
AI3012	v1	2	2		2	gapA(1), infB(2), mdh(2), pgi(1), phoE(2), rpoB(1), tonB(2)
AI3013	v2	764	764		764	dnaA(59), fusA(9), gyrB(12), leuS(9), pyrG(62), rplB(113), rpoB(6)
AI3018	v1	15	15		15	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(1)
AI3019	v1	96	96		96	dnaA(57), fusA(39), gyrB(49), leuS(57), pyrG(49), rplB(12), rpoB(20)
AI3020	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI3021	v1	15	15		15	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(1)
AI3022	v1	147	147		147	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(38)
AI3023	v5	15	15		15	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(1)
AI3024	v1	15	15		15	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(1)
AI3025	v1	15	15		15	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(1)
AI3027	v1	3362	3362		3362	gapA(3), infB(3), mdh(1), pgi(1), phoE(359), rpoB(1), tonB(4)
AI3028	v1	392	392		392	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(40)
AI3030	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI3031	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI3034	v1	0	4387	4387	4387	gapA(2), infB(20), mdh(13), pgi(1), phoE(21), rpoB(1), tonB(9)
AI3035	v5	147	147		147	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(38)
AI3036	v1	326	326		326	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(64)
AI3037	v1	147	147		147	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(38)
AI3038	v1	171	171		171	dnaA(49), fusA(21), gyrB(19), leuS(44), pyrG(45), rplB(12), rpoB(32)
AI3039	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI3040	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI3041	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI3042	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI3043	v5	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI3044	v1	101	101		101	gapA(2), infB(6), mdh(1), pgi(5), phoE(4), rpoB(1), tonB(6)
AI3045	v2	96	96		96	dnaA(57), fusA(39), gyrB(49), leuS(57), pyrG(49), rplB(12), rpoB(20)
AI3046	v2	512	512		512	gapA(54), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(79)
AI3047	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI3048	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI3049	v1	101	101		101	gapA(2), infB(6), mdh(1), pgi(5), phoE(4), rpoB(1), tonB(6)
AI3050	v1	-	-	96*	1383	dnaA(57), fusA(39), gyrB(49), leuS(57), pyrG(353), rplB(12), rpoB(20)
AI3051	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI3052	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI3053	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI3054	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI3055	v1	1962	1962		1962	gapA(2), infB(1), mdh(65), pgi(1), phoE(240), rpoB(4), tonB(43)
AI3056	v1	1961	1961		1961	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(116), tonB(1)
AI3057	v1	0	-	164*	514	aspC(76), clpX(12), fadD(7), mdh(48), arcA(49), dnaG(9), lysP(11)
AI3058	v1	0	-	112*	515	aspC(26), clpX(5), fadD(17), mdh(15), arcA(~40), dnaG(9), lysP(17)
AI3059	v2	22	22		22	aspC(15), clpX(12), fadD(20), mdh(15), arcA(5), dnaG(11), lysP(17)
AI3060	v5	1961	1961		1961	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(116), tonB(1)
AI3062	v1	0	-	New1	5000	gapA(3), infB(3), mdh(113), pgi(1), phoE(1), rpoB(1), tonB(4)
AI3063	v1	0	-	New1	5000	gapA(3), infB(3), mdh(113), pgi(1), phoE(1), rpoB(1), tonB(4)
AI3064	v2	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI3065	v1	147	147		147	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(38)
AI3067	v1	15	15		15	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(1)
AI3068	v1	131	131		131	adk(53), fumC(40), gyrB(47), icd(13), mdh(36), purA(28), recA(29)
AI3069	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AI3070	v1	15	15		15	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(1)
AI3071	v1	15	15		15	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(1)
AN2335	v1	1881	1881		0	
AN2336	v5	27	27		27	gapA(3), infB(5), mdh(7), pgi(13), phoE(17), rpoB(4), tonB(5)
AN2337	v1	147	147		147	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(38)
AN2338	v1	512	512		512	gapA(54), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(79)
AN2339	v1	258	258		258	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(79)
AN2340	v1	2295	2295		0	
AN2341	v1	0	-	New1	5000	gapA(3), infB(3), mdh(113), pgi(1), phoE(1), rpoB(1), tonB(4)
AN2342	v1	147	147		147	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(38)
AN2343	v1	405	405		405	gapA(2), infB(1), mdh(62), pgi(3), phoE(10), rpoB(4), tonB(110)
AN2344	v1	15	15		15	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(1)
AN2345	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AN2346	v1	551	551		551	gapA(3), infB(1), mdh(1), pgi(1), phoE(9), rpoB(4), tonB(135)
AN2347	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AN2349	v1	392	392		392	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(40)
AN2350	v1	15	15		15	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(1)
AN2351	v1	0	-		0	
AN2352	v1	147	147		147	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(38)
AN2353	v1	0	-		0	
AN2354	v1	15	15		15	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(1)
AN2355	v1	307	307		307	gapA(4), infB(1), mdh(2), pgi(52), phoE(1), rpoB(1), tonB(7)
AN2356	v1	15	15		15	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(1)
AN2357	v1	15	15		15	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(1)
AN2358	v1	15	15		15	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(1)
AN2360	v1	93	93		93	dnaA(9), fusA(4), gyrB(14), leuS(61), pyrG(37), rplB(4), rpoB(9)
AN2361	v1	15	15		15	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(1)
AN2362	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AN2363	v1	0	-	48*	328	gapA(1), infB(3), mdh(13), pgi(24), phoE(97), rpoB(10), tonB(80)
AN2364	v1	168	168		168	dnaA(59), fusA(40), gyrB(81), leuS(9), pyrG(79), rplB(37), rpoB(38)
