file_id	-	total_length	rep_type	relaxase_type	mpf_type	orit_type	PredictedMobility
AI2644_v1_c1	-	5270641	-	-	-	-	Non-mobilizable
AI2644_v1_c2	G1	239969	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AI2644_v1_c3	G1	114840	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2644_v1_c4	G80	6761	rep_cluster_2050,ColRNAI_rep_cluster_1987	-	-	-	Non-mobilizable
AI2644_v1_c5	G81	5225	ColRNAI_rep_cluster_1987	MOBP,MOBP	-	-	Mobilizable
AI2644_v1_c6	G82	4859	ColRNAI_rep_cluster_1987	MOBP	-	MOBP	Mobilizable
AI2644_v1_c7	G83	1917	ColRNAI_rep_cluster_1987	-	-	MOBP	Mobilizable
AI2645_v1_c1	G566	462118	-	-	-	-	Non-mobilizable
AI2645_v1_c10	G1065	178271	-	-	-	-	Non-mobilizable
AI2645_v1_c100	G84	1494	-	-	-	-	Non-mobilizable
AI2645_v1_c101	G85	1483	-	-	-	-	Non-mobilizable
AI2645_v1_c102	G86	1445	-	-	-	-	Non-mobilizable
AI2645_v1_c103	G87	1390	-	-	-	-	Non-mobilizable
AI2645_v1_c104	G88	1382	-	-	-	-	Non-mobilizable
AI2645_v1_c105	G89	1382	-	-	-	-	Non-mobilizable
AI2645_v1_c106	G90	1377	-	-	-	-	Non-mobilizable
AI2645_v1_c107	G91	1341	-	-	-	-	Non-mobilizable
AI2645_v1_c108	G92	1337	-	-	-	-	Non-mobilizable
AI2645_v1_c109	G93	1325	-	-	-	-	Non-mobilizable
AI2645_v1_c11	G1047	178006	-	-	-	-	Non-mobilizable
AI2645_v1_c110	G94	1319	-	-	-	-	Non-mobilizable
AI2645_v1_c111	G913	1313	-	-	-	-	Non-mobilizable
AI2645_v1_c112	G979	1278	-	-	-	-	Non-mobilizable
AI2645_v1_c113	G95	1230	-	-	-	-	Non-mobilizable
AI2645_v1_c114	G96	1228	-	-	-	-	Non-mobilizable
AI2645_v1_c115	G97	1228	-	-	-	-	Non-mobilizable
AI2645_v1_c116	G98	1129	-	-	MPF_F	-	Non-mobilizable
AI2645_v1_c117	G99	1117	-	-	-	-	Non-mobilizable
AI2645_v1_c118	G100	1064	-	-	-	-	Non-mobilizable
AI2645_v1_c119	G101	1064	-	-	-	-	Non-mobilizable
AI2645_v1_c12	G1	166033	-	-	-	-	Non-mobilizable
AI2645_v1_c120	G102	1061	-	-	-	-	Non-mobilizable
AI2645_v1_c121	G103	1052	-	-	-	-	Non-mobilizable
AI2645_v1_c122	G104	1051	-	-	MPF_F	-	Non-mobilizable
AI2645_v1_c123	G105	1051	-	-	MPF_F	-	Non-mobilizable
AI2645_v1_c124	G981	1037	-	-	-	-	Non-mobilizable
AI2645_v1_c125	G1057	1026	-	-	-	-	Non-mobilizable
AI2645_v1_c126	G106	953	-	-	-	-	Non-mobilizable
AI2645_v1_c127	G107	921	-	-	-	-	Non-mobilizable
AI2645_v1_c128	G108	921	-	-	-	-	Non-mobilizable
AI2645_v1_c129	G109	908	-	-	-	-	Non-mobilizable
AI2645_v1_c13	G185	162671	-	-	-	-	Non-mobilizable
AI2645_v1_c130	G110	848	-	-	-	-	Non-mobilizable
AI2645_v1_c131	G111	848	-	-	-	-	Non-mobilizable
AI2645_v1_c132	G914	840	-	-	-	-	Non-mobilizable
AI2645_v1_c133	G112	838	-	-	-	-	Non-mobilizable
AI2645_v1_c134	G113	813	-	-	-	-	Non-mobilizable
AI2645_v1_c135	G114	791	-	-	-	-	Non-mobilizable
AI2645_v1_c136	G115	768	-	-	-	-	Non-mobilizable
AI2645_v1_c137	G116	724	-	-	-	-	Non-mobilizable
AI2645_v1_c138	G117	724	-	-	-	-	Non-mobilizable
AI2645_v1_c139	G118	711	-	-	-	-	Non-mobilizable
AI2645_v1_c14	G982	161276	-	-	-	-	Non-mobilizable
AI2645_v1_c140	G119	711	-	-	-	-	Non-mobilizable
AI2645_v1_c141	G120	711	-	-	-	-	Non-mobilizable
AI2645_v1_c142	G121	711	-	-	-	-	Non-mobilizable
AI2645_v1_c143	G122	709	-	-	-	-	Non-mobilizable
AI2645_v1_c144	G123	677	-	-	-	-	Non-mobilizable
AI2645_v1_c145	G124	657	-	-	-	-	Non-mobilizable
AI2645_v1_c146	G125	653	-	-	-	-	Non-mobilizable
AI2645_v1_c147	G980	653	-	-	-	-	Non-mobilizable
AI2645_v1_c148	G126	633	-	-	-	-	Non-mobilizable
AI2645_v1_c149	G127	633	-	-	-	-	Non-mobilizable
AI2645_v1_c15	G878	160462	-	-	-	-	Non-mobilizable
AI2645_v1_c150	G1077	627	-	-	-	-	Non-mobilizable
AI2645_v1_c151	G995	627	-	-	-	-	Non-mobilizable
AI2645_v1_c152	G128	619	-	-	-	-	Non-mobilizable
AI2645_v1_c153	G1089	619	-	-	-	-	Non-mobilizable
AI2645_v1_c154	G915	591	-	-	-	-	Non-mobilizable
AI2645_v1_c155	G129	584	-	-	-	-	Non-mobilizable
AI2645_v1_c156	G130	584	-	-	-	-	Non-mobilizable
AI2645_v1_c157	G131	572	-	-	-	-	Non-mobilizable
AI2645_v1_c158	G132	572	-	-	-	-	Non-mobilizable
AI2645_v1_c159	G133	567	-	-	-	-	Non-mobilizable
AI2645_v1_c16	-	129907	-	-	-	-	Non-mobilizable
AI2645_v1_c160	G134	567	-	-	-	-	Non-mobilizable
AI2645_v1_c161	G135	559	-	-	-	-	Non-mobilizable
AI2645_v1_c162	G136	559	-	-	-	-	Non-mobilizable
AI2645_v1_c163	G999	555	-	-	-	-	Non-mobilizable
AI2645_v1_c164	G1032	555	-	-	-	-	Non-mobilizable
AI2645_v1_c165	G137	555	-	-	-	-	Non-mobilizable
AI2645_v1_c166	G138	553	-	-	-	-	Non-mobilizable
AI2645_v1_c167	G139	544	-	-	-	-	Non-mobilizable
AI2645_v1_c168	G140	544	-	-	-	-	Non-mobilizable
AI2645_v1_c169	G141	526	-	-	-	-	Non-mobilizable
AI2645_v1_c17	G1090	125037	-	-	-	-	Non-mobilizable
AI2645_v1_c170	G142	523	-	-	-	-	Non-mobilizable
AI2645_v1_c171	G143	523	-	-	-	-	Non-mobilizable
AI2645_v1_c172	G144	510	-	-	-	-	Non-mobilizable
AI2645_v1_c173	G145	507	-	-	-	-	Non-mobilizable
AI2645_v1_c174	G146	483	-	-	-	-	Non-mobilizable
AI2645_v1_c175	G147	453	-	-	-	-	Non-mobilizable
AI2645_v1_c176	G148	446	-	-	-	-	Non-mobilizable
AI2645_v1_c177	G149	438	-	-	-	-	Non-mobilizable
AI2645_v1_c178	G150	437	-	-	-	-	Non-mobilizable
AI2645_v1_c179	G1033	425	-	-	-	-	Non-mobilizable
AI2645_v1_c18	G1	100420	-	-	-	-	Non-mobilizable
AI2645_v1_c180	G151	399	-	-	-	-	Non-mobilizable
AI2645_v1_c181	G152	394	-	-	-	-	Non-mobilizable
AI2645_v1_c182	G153	388	-	-	-	-	Non-mobilizable
AI2645_v1_c183	G1018	366	-	-	-	-	Non-mobilizable
AI2645_v1_c184	G154	352	-	-	-	-	Non-mobilizable
AI2645_v1_c185	G155	351	-	-	-	-	Non-mobilizable
AI2645_v1_c186	G156	345	-	-	-	-	Non-mobilizable
AI2645_v1_c187	G157	332	-	-	-	-	Non-mobilizable
AI2645_v1_c188	-	328	-	-	-	-	Non-mobilizable
AI2645_v1_c189	G983	324	-	-	-	-	Non-mobilizable
AI2645_v1_c19	G1	99553	-	-	-	-	Non-mobilizable
AI2645_v1_c190	G158	321	-	-	-	-	Non-mobilizable
AI2645_v1_c191	G159	316	-	-	-	-	Non-mobilizable
AI2645_v1_c192	G160	305	-	-	-	-	Non-mobilizable
AI2645_v1_c193	G1072	301	-	-	-	-	Non-mobilizable
AI2645_v1_c194	G161	301	-	-	-	-	Non-mobilizable
AI2645_v1_c195	G162	298	-	-	-	-	Non-mobilizable
AI2645_v1_c196	G163	289	-	-	-	-	Non-mobilizable
AI2645_v1_c197	G1034	282	-	-	-	-	Non-mobilizable
AI2645_v1_c198	G1049	273	-	-	-	-	Non-mobilizable
AI2645_v1_c199	G164	272	-	-	-	-	Non-mobilizable
AI2645_v1_c2	G1059	415027	-	-	-	-	Non-mobilizable
AI2645_v1_c20	G1078	98523	-	-	-	-	Non-mobilizable
AI2645_v1_c200	G165	268	-	-	-	-	Non-mobilizable
AI2645_v1_c201	G166	267	-	-	-	-	Non-mobilizable
AI2645_v1_c202	G1064	264	-	-	-	-	Non-mobilizable
AI2645_v1_c203	G167	259	-	-	-	-	Non-mobilizable
AI2645_v1_c204	G168	258	-	-	-	-	Non-mobilizable
AI2645_v1_c205	G1001	257	-	-	-	-	Non-mobilizable
AI2645_v1_c206	G1058	256	-	-	-	-	Non-mobilizable
AI2645_v1_c207	G169	255	-	-	-	-	Non-mobilizable
AI2645_v1_c208	G916	255	-	-	-	-	Non-mobilizable
AI2645_v1_c209	G1002	255	-	-	-	-	Non-mobilizable
AI2645_v1_c21	G185	94326	-	-	-	-	Non-mobilizable
AI2645_v1_c210	G917	255	-	-	-	-	Non-mobilizable
AI2645_v1_c211	G1003	254	-	-	-	-	Non-mobilizable
AI2645_v1_c212	G170	254	-	-	-	-	Non-mobilizable
AI2645_v1_c213	G171	253	-	-	-	-	Non-mobilizable
AI2645_v1_c214	G172	253	-	-	-	-	Non-mobilizable
AI2645_v1_c215	G173	253	-	-	-	-	Non-mobilizable
AI2645_v1_c216	G174	253	-	-	-	-	Non-mobilizable
AI2645_v1_c217	G175	252	-	-	-	-	Non-mobilizable
AI2645_v1_c218	G176	251	-	-	-	-	Non-mobilizable
AI2645_v1_c219	G177	250	-	-	-	-	Non-mobilizable
AI2645_v1_c22	G878	91478	-	-	-	-	Non-mobilizable
AI2645_v1_c220	G918	249	-	-	-	-	Non-mobilizable
AI2645_v1_c221	G984	246	-	-	-	-	Non-mobilizable
AI2645_v1_c222	G178	243	-	-	-	-	Non-mobilizable
AI2645_v1_c223	G179	236	-	-	-	-	Non-mobilizable
AI2645_v1_c224	G985	236	-	-	-	-	Non-mobilizable
AI2645_v1_c225	G1050	235	-	-	-	-	Non-mobilizable
AI2645_v1_c226	G180	230	-	-	-	-	Non-mobilizable
AI2645_v1_c227	-	230	-	-	-	-	Non-mobilizable
AI2645_v1_c228	-	230	-	-	-	-	Non-mobilizable
AI2645_v1_c229	-	228	-	-	-	-	Non-mobilizable
AI2645_v1_c23	G956	86587	-	-	-	-	Non-mobilizable
AI2645_v1_c230	G1062	228	-	-	-	-	Non-mobilizable
AI2645_v1_c231	G1066	228	-	-	-	-	Non-mobilizable
AI2645_v1_c232	G181	228	-	-	-	-	Non-mobilizable
AI2645_v1_c233	G919	225	-	-	-	-	Non-mobilizable
AI2645_v1_c234	G182	225	-	-	-	-	Non-mobilizable
AI2645_v1_c235	G183	216	-	-	-	-	Non-mobilizable
AI2645_v1_c236	-	215	-	-	-	-	Non-mobilizable
AI2645_v1_c237	-	215	-	-	-	-	Non-mobilizable
AI2645_v1_c238	-	215	-	-	-	-	Non-mobilizable
AI2645_v1_c239	-	215	-	-	-	-	Non-mobilizable
AI2645_v1_c24	G920	79219	-	-	-	-	Non-mobilizable
AI2645_v1_c240	-	209	-	-	-	-	Non-mobilizable
AI2645_v1_c241	-	207	-	-	-	-	Non-mobilizable
AI2645_v1_c242	-	206	-	-	-	-	Non-mobilizable
AI2645_v1_c243	-	205	-	-	-	-	Non-mobilizable
AI2645_v1_c244	G1092	205	-	-	-	-	Non-mobilizable
AI2645_v1_c245	-	202	-	-	-	-	Non-mobilizable
AI2645_v1_c246	-	197	-	-	-	-	Non-mobilizable
AI2645_v1_c247	-	195	-	-	-	-	Non-mobilizable
AI2645_v1_c248	-	192	-	-	-	-	Non-mobilizable
AI2645_v1_c249	-	191	-	-	-	-	Non-mobilizable
AI2645_v1_c25	G184	75479	-	-	-	-	Non-mobilizable
AI2645_v1_c250	-	190	-	-	-	-	Non-mobilizable
AI2645_v1_c251	-	186	-	-	-	-	Non-mobilizable
AI2645_v1_c252	-	186	-	-	-	-	Non-mobilizable
AI2645_v1_c253	-	185	-	-	-	-	Non-mobilizable
AI2645_v1_c254	-	185	-	-	-	-	Non-mobilizable
AI2645_v1_c255	-	184	-	-	-	-	Non-mobilizable
AI2645_v1_c256	-	178	-	-	-	-	Non-mobilizable
AI2645_v1_c257	-	172	-	-	-	-	Non-mobilizable
AI2645_v1_c258	-	170	-	-	-	-	Non-mobilizable
AI2645_v1_c259	-	168	-	-	-	-	Non-mobilizable
AI2645_v1_c26	G1	52392	-	-	-	-	Non-mobilizable
AI2645_v1_c260	-	166	-	-	-	-	Non-mobilizable
AI2645_v1_c261	-	165	-	-	-	-	Non-mobilizable
AI2645_v1_c262	-	163	-	-	-	-	Non-mobilizable
AI2645_v1_c263	-	162	-	-	-	-	Non-mobilizable
AI2645_v1_c264	-	161	-	-	-	-	Non-mobilizable
AI2645_v1_c265	-	161	-	-	-	-	Non-mobilizable
AI2645_v1_c266	-	160	-	-	-	-	Non-mobilizable
AI2645_v1_c267	-	160	-	-	-	-	Non-mobilizable
AI2645_v1_c268	-	160	-	-	-	-	Non-mobilizable
AI2645_v1_c269	-	158	-	-	-	-	Non-mobilizable
AI2645_v1_c27	-	47394	-	-	-	-	Non-mobilizable
AI2645_v1_c270	-	155	-	-	-	-	Non-mobilizable
AI2645_v1_c271	-	154	-	-	-	-	Non-mobilizable
AI2645_v1_c272	-	154	-	-	-	-	Non-mobilizable
AI2645_v1_c273	-	154	-	-	-	-	Non-mobilizable
AI2645_v1_c274	-	152	-	-	-	-	Non-mobilizable
AI2645_v1_c275	-	152	-	-	-	-	Non-mobilizable
AI2645_v1_c276	-	152	-	-	-	-	Non-mobilizable
AI2645_v1_c277	-	152	-	-	-	-	Non-mobilizable
AI2645_v1_c278	-	152	-	-	-	-	Non-mobilizable
AI2645_v1_c279	-	152	-	-	-	-	Non-mobilizable
AI2645_v1_c28	G1036	41669	-	-	-	-	Non-mobilizable
AI2645_v1_c280	-	150	-	-	-	-	Non-mobilizable
AI2645_v1_c281	-	150	-	-	-	-	Non-mobilizable
AI2645_v1_c282	-	149	-	-	-	-	Non-mobilizable
AI2645_v1_c283	-	148	-	-	-	-	Non-mobilizable
AI2645_v1_c284	-	147	-	-	-	-	Non-mobilizable
AI2645_v1_c285	-	147	-	-	-	-	Non-mobilizable
AI2645_v1_c286	-	146	-	-	-	-	Non-mobilizable
AI2645_v1_c287	-	146	-	-	-	-	Non-mobilizable
AI2645_v1_c288	-	146	-	-	-	-	Non-mobilizable
AI2645_v1_c289	-	145	-	-	-	-	Non-mobilizable
AI2645_v1_c29	G951	34493	-	-	-	-	Non-mobilizable
AI2645_v1_c290	-	145	-	-	-	-	Non-mobilizable
AI2645_v1_c291	-	143	-	-	-	-	Non-mobilizable
AI2645_v1_c292	-	142	-	-	-	-	Non-mobilizable
AI2645_v1_c293	-	142	-	-	-	-	Non-mobilizable
AI2645_v1_c294	-	141	-	-	-	-	Non-mobilizable
AI2645_v1_c295	-	141	-	-	-	-	Non-mobilizable
AI2645_v1_c296	-	140	-	-	-	-	Non-mobilizable
AI2645_v1_c297	-	139	-	-	-	-	Non-mobilizable
AI2645_v1_c298	-	139	-	-	-	-	Non-mobilizable
AI2645_v1_c299	-	137	-	-	-	-	Non-mobilizable
AI2645_v1_c3	G1091	413758	-	-	-	-	Non-mobilizable
AI2645_v1_c30	G1073	28749	-	-	-	-	Non-mobilizable
AI2645_v1_c300	-	137	-	-	-	-	Non-mobilizable
AI2645_v1_c301	-	137	-	-	-	-	Non-mobilizable
AI2645_v1_c302	-	135	-	-	-	-	Non-mobilizable
AI2645_v1_c303	-	134	-	-	-	-	Non-mobilizable
AI2645_v1_c304	-	133	-	-	-	-	Non-mobilizable
AI2645_v1_c305	-	131	-	-	-	-	Non-mobilizable
AI2645_v1_c306	-	131	-	-	-	-	Non-mobilizable
AI2645_v1_c307	-	130	-	-	-	-	Non-mobilizable
AI2645_v1_c308	-	130	-	-	-	-	Non-mobilizable
AI2645_v1_c309	-	128	-	-	-	-	Non-mobilizable
AI2645_v1_c31	G1	26357	-	-	-	-	Non-mobilizable
AI2645_v1_c310	-	128	-	-	-	-	Non-mobilizable
AI2645_v1_c311	-	128	-	-	-	-	Non-mobilizable
AI2645_v1_c312	-	128	-	-	-	-	Non-mobilizable
AI2645_v1_c313	-	128	-	-	-	-	Non-mobilizable
AI2645_v1_c314	-	128	-	-	-	-	Non-mobilizable
AI2645_v1_c315	-	128	-	-	-	-	Non-mobilizable
AI2645_v1_c316	-	128	-	-	-	-	Non-mobilizable
AI2645_v1_c317	-	128	-	-	-	-	Non-mobilizable
AI2645_v1_c318	-	128	-	-	-	-	Non-mobilizable
AI2645_v1_c319	-	128	-	-	-	-	Non-mobilizable
AI2645_v1_c32	G1	21887	IncFIB	-	-	-	Non-mobilizable
AI2645_v1_c320	-	128	-	-	-	-	Non-mobilizable
AI2645_v1_c321	-	128	-	-	-	-	Non-mobilizable
AI2645_v1_c322	-	128	-	-	-	-	Non-mobilizable
AI2645_v1_c323	-	128	-	-	-	-	Non-mobilizable
AI2645_v1_c324	-	128	-	-	-	-	Non-mobilizable
AI2645_v1_c325	-	127	-	-	-	-	Non-mobilizable
AI2645_v1_c33	G185	20860	-	-	-	-	Non-mobilizable
AI2645_v1_c34	G1100	20168	-	-	-	-	Non-mobilizable
AI2645_v1_c35	G1	19870	-	-	-	-	Non-mobilizable
AI2645_v1_c36	G1	14183	-	-	-	-	Non-mobilizable
AI2645_v1_c37	G1	11347	-	-	-	-	Non-mobilizable
AI2645_v1_c38	G988	11294	-	-	-	-	Non-mobilizable
AI2645_v1_c39	G186	10683	-	-	-	-	Non-mobilizable
AI2645_v1_c4	G1037	378763	-	-	-	-	Non-mobilizable
AI2645_v1_c40	G940	10576	-	-	-	-	Non-mobilizable
AI2645_v1_c41	G187	8311	IncFIB	-	-	-	Non-mobilizable
AI2645_v1_c42	G188	8143	-	-	-	-	Non-mobilizable
AI2645_v1_c43	G189	7744	-	-	-	-	Non-mobilizable
AI2645_v1_c44	G190	6601	-	-	-	-	Non-mobilizable
AI2645_v1_c45	G191	6521	-	-	-	-	Non-mobilizable
AI2645_v1_c46	G192	6040	-	-	-	-	Non-mobilizable
AI2645_v1_c47	G193	5581	-	-	MPF_F	-	Non-mobilizable
AI2645_v1_c48	G194	5346	ColRNAI_rep_cluster_1987	MOBP,MOBP	-	-	Mobilizable
AI2645_v1_c49	G195	5144	-	-	-	-	Non-mobilizable
AI2645_v1_c5	G972	336161	-	-	-	-	Non-mobilizable
AI2645_v1_c50	G196	4986	ColRNAI_rep_cluster_1987	MOBP	-	MOBP	Mobilizable
AI2645_v1_c51	G197	4685	IncFII,IncFII	-	-	-	Non-mobilizable
AI2645_v1_c52	G198	4638	-	-	-	-	Non-mobilizable
AI2645_v1_c53	G199	4566	-	-	-	-	Non-mobilizable
AI2645_v1_c54	G200	4159	-	-	-	-	Non-mobilizable
AI2645_v1_c55	G201	4091	-	-	-	-	Non-mobilizable
AI2645_v1_c56	G202	3827	-	-	-	-	Non-mobilizable
AI2645_v1_c57	G203	3818	-	-	-	-	Non-mobilizable
AI2645_v1_c58	G204	3764	-	-	-	-	Non-mobilizable
AI2645_v1_c59	G205	3372	-	-	MPF_F	-	Non-mobilizable
AI2645_v1_c6	G865	323801	-	-	-	-	Non-mobilizable
AI2645_v1_c60	G986	3261	-	-	-	-	Non-mobilizable
AI2645_v1_c61	G206	3255	-	-	-	-	Non-mobilizable
AI2645_v1_c62	G207	3078	-	-	MPF_F	-	Non-mobilizable
AI2645_v1_c63	G208	3046	rep_cluster_2050	-	-	-	Non-mobilizable
AI2645_v1_c64	G209	2940	-	-	-	-	Non-mobilizable
AI2645_v1_c65	G210	2858	-	-	-	-	Non-mobilizable
AI2645_v1_c66	G211	2853	-	-	-	-	Non-mobilizable
AI2645_v1_c67	G212	2729	-	-	-	-	Non-mobilizable
AI2645_v1_c68	G213	2700	ColRNAI_rep_cluster_1987	-	-	-	Non-mobilizable
AI2645_v1_c69	G214	2662	-	-	MPF_F	-	Non-mobilizable
AI2645_v1_c7	G878	214757	-	-	-	-	Non-mobilizable
AI2645_v1_c70	G215	2636	-	-	-	-	Non-mobilizable
AI2645_v1_c71	G216	2635	IncFII	-	-	-	Non-mobilizable
AI2645_v1_c72	G217	2601	-	-	-	-	Non-mobilizable
AI2645_v1_c73	G218	2601	-	-	-	-	Non-mobilizable
AI2645_v1_c74	G219	2529	-	-	-	-	Non-mobilizable
AI2645_v1_c75	G220	2457	-	-	-	-	Non-mobilizable
AI2645_v1_c76	G221	2437	-	-	-	-	Non-mobilizable
AI2645_v1_c77	G222	2323	-	-	-	-	Non-mobilizable
AI2645_v1_c78	G223	2293	-	-	-	-	Non-mobilizable
AI2645_v1_c79	G224	2274	-	-	-	-	Non-mobilizable
AI2645_v1_c8	G1	204136	-	-	-	-	Non-mobilizable
AI2645_v1_c80	G225	2164	-	-	MPF_F	-	Non-mobilizable
AI2645_v1_c81	G226	2061	-	-	-	-	Non-mobilizable
AI2645_v1_c82	G227	2044	ColRNAI_rep_cluster_1987	-	-	MOBP	Mobilizable
AI2645_v1_c83	G228	2023	-	-	MPF_T	-	Non-mobilizable
AI2645_v1_c84	G229	2023	-	-	MPF_T	-	Non-mobilizable
AI2645_v1_c85	G230	1888	-	-	-	-	Non-mobilizable
AI2645_v1_c86	G231	1772	-	-	MPF_F	-	Non-mobilizable
AI2645_v1_c87	G232	1772	-	-	MPF_F	-	Non-mobilizable
AI2645_v1_c88	G233	1768	-	-	-	-	Non-mobilizable
AI2645_v1_c89	G234	1729	-	-	-	-	Non-mobilizable
AI2645_v1_c9	G972	203558	-	-	-	-	Non-mobilizable
AI2645_v1_c90	G235	1661	-	-	-	-	Non-mobilizable
AI2645_v1_c91	G236	1619	-	-	-	-	Non-mobilizable
AI2645_v1_c92	G237	1612	-	-	-	-	Non-mobilizable
AI2645_v1_c93	G238	1587	-	-	-	-	Non-mobilizable
AI2645_v1_c94	G239	1578	-	-	-	-	Non-mobilizable
AI2645_v1_c95	G240	1576	-	-	-	-	Non-mobilizable
AI2645_v1_c96	G241	1564	-	-	-	-	Non-mobilizable
AI2645_v1_c97	G242	1547	-	-	MPF_F	-	Non-mobilizable
AI2645_v1_c98	G243	1543	-	-	-	-	Non-mobilizable
AI2645_v1_c99	G921	1516	-	-	-	-	Non-mobilizable
AI2646_v1_c1	-	5269864	-	-	-	-	Non-mobilizable
AI2646_v1_c2	G1	188441	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AI2646_v1_c3	G1	114840	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2646_v1_c4	G244	6761	ColRNAI_rep_cluster_1987	-	-	-	Non-mobilizable
AI2646_v1_c5	G245	5225	ColRNAI_rep_cluster_1987	MOBP,MOBP	-	-	Mobilizable
AI2646_v1_c6	G246	4859	ColRNAI_rep_cluster_1987	MOBP	-	MOBP	Mobilizable
AI2646_v1_c7	G247	1917	ColRNAI_rep_cluster_1987	-	-	MOBP	Mobilizable
AI2647_v1_c1	-	5269864	-	-	-	-	Non-mobilizable
AI2647_v1_c2	G1	242397	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AI2647_v1_c3	G1	114840	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2647_v1_c4	G248	6761	ColRNAI_rep_cluster_1987,rep_cluster_2050	-	-	-	Non-mobilizable
AI2647_v1_c5	G249	5225	ColRNAI_rep_cluster_1987	MOBP,MOBP	-	-	Mobilizable
AI2647_v1_c6	G250	4859	ColRNAI_rep_cluster_1987	MOBP	-	MOBP	Mobilizable
AI2647_v1_c7	G251	1917	ColRNAI_rep_cluster_1987	-	-	MOBP	Mobilizable
AI2648_v1_c1	-	5269552	-	-	-	-	Non-mobilizable
AI2648_v1_c2	G1	188441	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AI2648_v1_c3	G1	114840	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2648_v1_c4	G252	6761	ColRNAI_rep_cluster_1987,rep_cluster_2050	-	-	-	Non-mobilizable
AI2648_v1_c5	G253	5225	ColRNAI_rep_cluster_1987	MOBP,MOBP	-	-	Mobilizable
AI2648_v1_c6	G254	4859	ColRNAI_rep_cluster_1987	MOBP	-	MOBP	Mobilizable
AI2648_v1_c7	G255	1917	ColRNAI_rep_cluster_1987	-	-	MOBP	Mobilizable
AI2649_v1_c1	-	5265743	-	-	-	-	Non-mobilizable
AI2649_v1_c2	G1	247093	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AI2650_v1_c1	-	5271191	-	-	-	-	Non-mobilizable
AI2650_v1_c2	G1	242397	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AI2650_v1_c3	G1	114840	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2650_v1_c4	G256	6761	ColRNAI_rep_cluster_1987	-	-	-	Non-mobilizable
AI2650_v1_c5	G257	5225	ColRNAI_rep_cluster_1987	MOBP,MOBP	-	-	Mobilizable
AI2650_v1_c6	G258	4859	ColRNAI_rep_cluster_1987	MOBP	-	MOBP	Mobilizable
AI2650_v1_c7	G259	1917	ColRNAI_rep_cluster_1987	-	-	MOBP	Mobilizable
AI2651_v1_c1	-	5279792	-	-	-	-	Non-mobilizable
AI2651_v1_c2	G1	209855	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2651_v1_c3	G1	114840	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2651_v1_c4	G1	56641	IncN	MOBF	MPF_T	MOBF	Conjugative
AI2651_v1_c5	G260	5665	ColRNAI_rep_cluster_1987	MOBP,MOBP	-	MOBP	Mobilizable
AI2651_v1_c6	-	5338	-	-	-	-	Non-mobilizable
AI2651_v1_c7	G261	3820	ColRNAI_rep_cluster_1987	MOBP	-	MOBP	Mobilizable
AI2651_v1_c8	G262	1917	ColRNAI_rep_cluster_1987	-	-	MOBP	Mobilizable
AI2652_v1_c1	-	5316689	-	-	-	-	Non-mobilizable
AI2652_v1_c2	G1	242397	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AI2652_v1_c3	G1	114840	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2652_v1_c4	G263	6761	ColRNAI_rep_cluster_1987,rep_cluster_2050	-	-	-	Non-mobilizable
AI2652_v1_c5	G264	5225	ColRNAI_rep_cluster_1987	MOBP,MOBP	-	-	Mobilizable
AI2652_v1_c6	G265	4859	ColRNAI_rep_cluster_1987	MOBP	-	MOBP	Mobilizable
AI2652_v1_c7	G266	1917	ColRNAI_rep_cluster_1987	-	-	MOBP	Mobilizable
AI2653_v1_c1	-	5271293	-	-	-	-	Non-mobilizable
AI2653_v1_c2	G1	242397	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AI2653_v1_c3	G1	114840	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2653_v1_c4	G267	6761	ColRNAI_rep_cluster_1987,rep_cluster_2050	-	-	-	Non-mobilizable
AI2653_v1_c5	G268	5225	ColRNAI_rep_cluster_1987	MOBP,MOBP	-	-	Mobilizable
AI2653_v1_c6	G269	4859	ColRNAI_rep_cluster_1987	MOBP,MOBP	-	MOBP	Mobilizable
AI2653_v1_c7	G270	1917	ColRNAI_rep_cluster_1987	-	-	MOBP	Mobilizable
AI2654_v1_c1	-	5271227	-	-	-	-	Non-mobilizable
AI2654_v1_c2	G1	242397	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AI2654_v1_c3	G271	6761	ColRNAI_rep_cluster_1987	-	-	-	Non-mobilizable
